"budget","revenue","runtime","vote_average","vote_count","ru","net.revenue","ratio","ratio_indicator","studio_unclass","actor_unclass","genre_unclass"
858680.9195,1130824.366,"95","6.347","4723","FALSE",272143.44649999996,0.3169319829052053,"No.Profit",1,11,2
6025734.538,53575518.32,"97","6.2","688","FALSE",47549783.782,7.89111824992248,"Profit",2,11,2
44049378.2,54936855.35,"94","6.547","1137","FALSE",10887477.149999999,0.24716528575197907,"No.Profit",2,11,2
34394102.06,27478098.83,"81","5.7","151","FALSE",-6916003.230000004,0.2010810812253548,"No.Profit",3,11,2
33980948.9,55819896.87,"109","5.219","103","FALSE",21838947.97,0.6426821109165671,"No.Profit",4,11,2
91404874.35,30477136.39,"105","5.9","28","FALSE",-60927737.95999999,0.6665699000547884,"No.Profit",4,11,2
21556458.5,215553149,"98","4.899","480","FALSE",193996690.5,8.999469486140313,"Profit",8,11,2
6213320.691,33609.09428,"98","6.6","1032","FALSE",-6179711.59672,0.9945908000002829,"No.Profit",1,12,2
35813171.39,23193773.72,"123","6.2","1069","FALSE",-12619397.670000002,0.3523675000065388,"No.Profit",1,12,2
9295703.259,72506485.42,"114","6.206","7370","FALSE",63210782.161,6.799999999978485,"Profit",1,1,3
87560343.62,33223384.49,"125","7","800","FALSE",-54336959.13000001,0.6205658507442026,"No.Profit",5,1,3
47267072.99,13398155.7,"149","7.4","1903","FALSE",-33868917.29000001,0.7165435714025584,"No.Profit",1,2,3
9801531.002,303681071.6,"132","6.398","231","FALSE",293879540.59800005,29.983024135518622,"Profit",2,2,3
185914.0652,94425.7537,"129","6.681","7134","FALSE",-91488.31150000001,0.49210000008111277,"No.Profit",2,2,3
22892129.56,16838277.29,"153","8.21","19302","FALSE",-6053852.27,0.2644512496809406,"No.Profit",2,2,3
3912606.69,59503994.6,"127","6.8","8900","FALSE",55591387.910000004,14.208274001085451,"Profit",3,2,3
41625393.64,106380361.8,"136","7.5","2266","FALSE",64754968.16,1.555660199157218,"Profit",4,2,3
83751113.97,626737502.9,"117","6.7","1308","FALSE",542986388.93,6.4833333336258665,"Profit",4,2,3
50521774.8,163615397.9,"96","7.2","305","FALSE",113093623.10000001,2.2385124740312965,"Profit",4,2,3
48801395.77,10658639.65,"106","6.5","81","FALSE",-38142756.120000005,0.7815914999596743,"No.Profit",4,2,3
4421837.64,1591861.551,"116","6.9","719","FALSE",-2829976.0889999997,0.6399999998643098,"No.Profit",4,2,3
34551450.43,46432984.2,"129","7","1776","FALSE",11881533.770000003,0.34387944998348374,"No.Profit",1,3,3
10469785.89,44810683.59,"189","8.511","14520","FALSE",34340897.7,3.2799999981661516,"Profit",1,3,3
57230323.91,111527142.7,"125","5.6","375","FALSE",54296818.79000001,0.9487421192196431,"No.Profit",1,3,3
7224152.262,3769122.919,"96","7.158","6220","FALSE",-3455029.343,0.4782608696073466,"No.Profit",1,3,3
